country,EU (27 countries),EU (25 countries),Euro area (17 countries),Euro area (16 countries),Belgium,Bulgaria,Czech Republic,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway
ISO,,,,,BE,BG,CZ,DK,DE,EE,IE,GR,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,GB,IS,NO
deficit_2010,-6.6,-6.6,-6.2,-6.3,-4.1,-3.1,-4.8,-2.6,-4.3,0.2,-31.3,-10.6,-9.3,-7.1,-4.6,-5.3,-8.3,-7,-1.1,-4.2,-3.6,-5.1,-4.4,-7.8,-9.8,-6.9,-5.8,-7.7,-2.5,0.2,-10.3,-10.1,10.6
bondYields,4.08,,,,4.2,5.26,3.14,2.23,2,,8.1,18.04,5.26,2.99,5.97,7,5.62,5.05,2.37,7.88,4.26,2.46,2.92,5.71,11.72,7.48,5.16,4.33,2.51,1.9,2.52,,
debt2011,80.9,,87.3,87.4,98.4,15.2,40.1,47.5,81.1,6.2,104.6,151.9,65.2,86.1,121.4,66.8,45.2,37.9,18.7,76.8,71.6,63.8,72.5,56,106.3,34.3,44.4,42.5,45.3,36.8,80.1,,42.3
unemployment,9.7,,10.2,10.2,6.7,11.9,6.6,7.1,5.8,12.8,14.2,17.6,22.6,9.9,8.3,7.8,16.1,15.5,4.8,9.9,6.6,4.5,3.9,9.4,12.5,7.5,8,13.5,7.8,7.2,8.1,,3.2
unemploymentYouth,21.4,,21.2,21.2,17.4,26.8,18.8,13.9,9.2,21.8,29.5,43.4,48,24,29.3,22.6,29.7,32.7,14.7,23.1,15.3,8,7.1,23.8,27.1,22.8,13.4,30.7,20.4,22.1,21.2,,8.2
